1;Водород;H;Hydrogenium;1, 1;1,00794 (7)[1][2][3];1766;https://ru.wikipedia.org/wiki/Водород
2;Гелий;He;Helium;1, 18;4,002602 (2)[1][3];1895
3;Литий;Li;Lithium;2, 1;6,941 (2)[1][2][3][4];1817
4;Бериллий;Be;Beryllium;2, 2;9,012182 (3);1797
5;Бор;B;Borum;2, 13;10,811 (7)[1][2][3];1808;https://ru.wikipedia.org/wiki/Бор_(элемент)
6;Углерод;C;Carboneum;2, 14;12,0107 (8)[1][3];0
7;Азот;N;Nitrogenium;2, 15;14,0067 (2)[1][3];1772
8;Кислород;O;Oxygenium;2, 16;15,9994 (3)[1][3];1774
9;Фтор;F;Fluorum;2, 17;18,9984032 (5);1886
10;Неон;Ne;Neon;2, 18;20,1797 (6)[1][2];1898
11;Натрий;Na;Natrium;3, 1;22,98976928 (2);1807
12;Магний;Mg;Magnesium;3, 2;24,3050 (6);1808
13;Алюминий;Al;Aluminium;3, 13;26,9815386 (8);1825
14;Кремний;Si;Silicium;3, 14;28,0855 (3)[3];1824
15;Фосфор;P;Phosphorus;3, 15;30,973762 (2);1669
16;Сера;S;Sulfur, Sulphur;3, 16;32,065 (5)[1][3];0
17;Хлор;Cl;Chlorum;3, 17;35,453 (2)[1][2][3];1774
18;Аргон;Ar;Argon;3, 18;39,948 (1)[1][3];1894
19;Калий;K;Kalium, Calium;4, 1;39,0983 (1);1807
20;Кальций;Ca;Calcium;4, 2;40,078 (4)[1];1808
21;Скандий;Sc;Scandium;4, 3;44,955912 (6);1879
22;Титан;Ti;Titanium;4, 4;47,867 (1);1791
23;Ванадий;V;Vanadium;4, 5;50,9415 (1);1801
24;Хром;Cr;Chromium;4, 6;51,9961 (6);1797
25;Марганец;Mn;Manganum,;4, 7;54,938045 (5);1774
26;Железо;Fe;Ferrum;4, 8;55,845 (2);0
27;Кобальт;Co;Cobaltum;4, 9;58,933195 (5);1735
28;Никель;Ni;Niccolum;4, 10;58,6934 (2);1751
29;Медь;Cu;Cuprum;4, 11;63,546 (3)[3];0
30;Цинк;Zn;Zincum;4, 12;65,409 (4);0
31;Галлий;Ga;Gallium;4, 13;69,723 (1);1875
32;Германий;Ge;Germanium;4, 14;72,64 (1);1886
33;Мышьяк;As;Arsenicum;4, 15;74,92160 (2);1250
34;Селен;Se;Selenium;4, 16;78,96 (3)[3];1817
35;Бром;Br;Bromum;4, 17;79,904 (1);1826
36;Криптон;Kr;Krypton, Crypton;4, 18;83,798 (2)[1][2];1898
37;Рубидий;Rb;Rubidium;5, 1;85,4678 (3)[1];1861
38;Стронций;Sr;Strontium;5, 2;87,62 (1)[1][3];1790
39;Иттрий;Y;Yttrium;5, 3;88,90585 (2);1794
40;Цирконий;Zr;Zirconium;5, 4;91,224 (2)[1];1789
41;Ниобий;Nb;Niobium;5, 5;92,90638 (2);1801
42;Молибден;Mo;Molybdaenum;5, 6;95,94 (2)[1];1778
43;Технеций;Tc;Technetium;5, 7;[98,9063][5];1937
44;Рутений;Ru;Ruthenium;5, 8;101,07 (2)[1];1844
45;Родий;Rh;Rhodium;5, 9;102,90550 (2);1803
46;Палладий;Pd;Palladium;5, 10;106,42 (1)[1];1803
47;Серебро;Ag;Argentum;5, 11;107,8682 (2)[1];0
48;Кадмий;Cd;Cadmium;5, 12;112,411 (8)[1];1817
49;Индий;In;Indium;5, 13;114,818 (3);1863
50;Олово;Sn;Stannum;5, 14;118,710 (7)[1];0
51;Сурьма;Sb;Stibium;5, 15;121,760 (1)[1];0
52;Теллур;Te;Tellurium;5, 16;127,60 (3)[1];1782
53;Иод;I;Iodium, Jodium;5, 17;126,90447 (3);1811
54;Ксенон;Xe;Xenon;5, 18;131,293 (6)[1][2];1898
55;Цезий;Cs;Caesium;6, 1;132,9054519 (2);1860
